Field,brain_num,threshold,vol_tot_more_thresh.mm3.,vol_tar_more_thresh.mm3.,focality,activation,vol_thresh...,non_target_activ...,mean_tar,sd_tar
Configuration_F7_Fp1_F8_Fp2.cache,1,0.259871277,25954,1447,5.575248517,50.17337032,2.212805866,94.42475148,0.266215617,0.031375654
Configuration_Fp1_PO9_Fp2_PO10.cache,1,0.453150115,26973,1500,5.561116672,52.0110957,2.299684543,94.43888333,0.459818493,0.045541914
Configuration_F5_FT9_F6_FT10.cache,1,0.157228943,25671,1412,5.500370067,48.95977809,2.188677637,94.49962993,0.161254302,0.019003603
Configuration_AF3_P9_AF4_P10.cache,1,0.441206565,28851,1502,5.206058715,52.08044383,2.459800495,94.79394128,0.44836501,0.041051329
Configuration_Fp1_C5_Fp2_C6.cache,1,0.361943123,28107,1456,5.18020422,50.48543689,2.396367977,94.81979578,0.373872497,0.040291803
Configuration_AF3_FT9_AF4_FT10.cache,1,0.362474612,27260,1410,5.172413793,48.89042996,2.324153807,94.82758621,0.370129298,0.037306753
Configuration_AF7_CP7_AF8_CP8.cache,1,0.26526997,28304,1463,5.168880724,50.72815534,2.413163953,94.83111928,0.267057384,0.032595056
Configuration_F5_Fp1_F6_Fp2.cache,1,0.243330376,28200,1453,5.15248227,50.3814147,2.404297042,94.84751773,0.249015808,0.030313603
Configuration_F3_AF9_F4_AF10.cache,1,0.266823716,28660,1473,5.139567341,51.07489598,2.443516071,94.86043266,0.277729116,0.038844538
Configuration_F5_FC7_F6_FC8.cache,1,0.095046543,27694,1425,5.145518885,49.41054092,2.361156109,94.85448112,0.096988387,0.010906474
Configuration_Fp1_FC5_Fp2_FC6.cache,1,0.310121073,29179,1479,5.068713801,51.28294036,2.487765368,94.9312862,0.321365344,0.036487757
Configuration_Fp1_AF9_Fp2_AF10.cache,1,0.258286953,28359,1429,5.038964703,49.54923717,2.417853184,94.9610353,0.261651282,0.034309745
Configuration_AF3_CP7_AF4_CP8.cache,1,0.397639586,28126,1410,5.013155088,48.89042996,2.397987893,94.98684491,0.404602523,0.038422382
Configuration_Fp1_PO3_Fp2_PO4.cache,1,0.458779452,29978,1487,4.960304223,51.56033287,2.555887117,95.03969578,0.463046451,0.045971804
Configuration_AF3_F9_AF4_F10.cache,1,0.341558599,29833,1472,4.934133342,51.04022191,2.543524597,95.06586666,0.349818171,0.037168978
