Participant,Trial_Nr,Run_Nr,Trial_nr_run,Cue_Taste1_Size2,Top_image_index,Bottom_image_index,Choice,RT_choice,Size_top_image,Taste_top_image,Size_bottom_image,Taste_bottom_image,Size_diff,Taste_diff,Cued_diff,Category,mean_RT_size_pic1,mean_RT_taste_pic1,mean_RT_size_pic2,mean_RT_taste_pic2,Diff_category_oposite_to_cue,Category_opposite_to_cue,Stimulation,Session_type,Accuracy,Size1_TopPic,Size2_TopPic,Taste1_TopPic,Taste2_TopPic,Size1_BotPic,Size2_BotPic,Taste1_BotPic,Taste2_BotPic,Amplitude,Circumfence,Time_between_tasks,Name_top_image,Name_bottom_image
4,127,5,15,1,16,3,1,0.728479911,0.490017361,0.774305556,0.3125,0.838975694,0.177517361,-0.064670139,-0.064670139,3,1.016619676,1.156531191,2.136158694,1.419410562,0.177517361,8,0,0,0,0.496527778,0.483506944,0.770833333,0.777777778,0.308159722,0.316840278,0.838541667,0.839409722,2,56,0,applegreen,banana
4,128,5,16,1,19,4,1,1.014502128,0.357204861,0.922309028,0.3984375,0.973958333,-0.041232639,-0.051649306,-0.051649306,3,1.757442211,1.397526099,1.799274495,1.31692315,-0.041232639,4,0,0,0,0.251736111,0.462673611,0.896701389,0.947916667,0.376736111,0.420138889,0.975694444,0.972222222,2,56,0,cottagecheese,benandjerrys
4,129,5,17,1,16,18,-1,0.829927108,0.490017361,0.774305556,0.478298611,0.970920139,0.01171875,-0.196614583,-0.196614583,1,1.016619676,1.156531191,1.115873806,1.605517601,0.01171875,5,0,0,0,0.496527778,0.483506944,0.770833333,0.777777778,0.458333333,0.498263889,0.941840278,1,2,56,0,applegreen,haribo
4,130,5,18,1,13,23,-1,1.105943699,0.855902778,0.5,0.761284722,0.584635417,0.094618056,-0.084635417,-0.084635417,3,1.577664635,1.082527217,0.943210192,1.65316678,0.094618056,6,0,0,0,0.845486111,0.866319444,0.502604167,0.497395833,0.703993056,0.818576389,0.6171875,0.552083333,2,56,0,darvida,kitkat
4,131,5,19,2,12,14,-1,1.095323672,0.311197917,0.525607639,0.174479167,0.644965278,0.13671875,-0.119357639,0.13671875,7,1.731238882,1.408347797,1.205386415,1.323207102,-0.119357639,2,0,0,0,0.395833333,0.2265625,0.506944444,0.544270833,0.2578125,0.091145833,0.657986111,0.631944444,2,56,0,croissant,duplo
4,132,5,20,2,11,4,-1,1.110223739,0.249565972,0.296006944,0.3984375,0.973958333,-0.148871528,-0.677951389,-0.148871528,2,1.999906987,1.274135843,1.799274495,1.31692315,-0.677951389,0,0,0,0,0.2890625,0.210069444,0.329861111,0.262152778,0.376736111,0.420138889,0.975694444,0.972222222,2,56,0,corny,benandjerrys
4,133,5,21,2,6,10,-1,1.480604001,0.276909722,0.769965278,0.411458333,0.552083333,-0.134548611,0.217881944,-0.134548611,2,2.601146824,1.136174623,3.174862656,1.373637012,0.217881944,0,0,0,0,0.3046875,0.249131944,0.840277778,0.699652778,0.405381944,0.417534722,0.539930556,0.564236111,2,56,0,bounty,lemon
4,134,5,22,2,25,31,1,1.406881343,0.342013889,0,0.212239583,0.845052083,0.129774306,-0.845052083,0.129774306,7,1.100382948,0.665198505,1.759805093,1.25795734,-0.845052083,0,0,0,0,0.330729167,0.353298611,0,0,0.301215278,0.123263889,0.770833333,0.919270833,2,56,0,lindt,melon
4,135,5,23,2,27,32,-1,1.243362625,0.545572917,0.638020833,0.387152778,0.137152778,0.158420139,0.500868056,0.158420139,8,1.360478316,1.089785677,1.720898464,0.654268292,0.500868056,0,0,0,0,0.469618056,0.621527778,0.642361111,0.633680556,0.410590278,0.363715278,0.073784722,0.200520833,2,56,0,maltesers,meringues
4,136,5,24,2,31,6,-1,1.292712072,0.212239583,0.845052083,0.276909722,0.769965278,-0.064670139,0.075086806,-0.064670139,3,1.759805093,1.25795734,2.601146824,1.136174623,0.075086806,6,0,0,0,0.301215278,0.123263889,0.770833333,0.919270833,0.3046875,0.249131944,0.840277778,0.699652778,2,56,0,melon,bounty
4,137,5,25,1,24,23,1,1.101638629,0.330729167,0.734809028,0.761284722,0.584635417,-0.430555556,0.150173611,0.150173611,8,1.811777546,0.957633955,0.943210192,1.65316678,-0.430555556,0,0,0,0,0.332465278,0.328993056,0.684027778,0.785590278,0.703993056,0.818576389,0.6171875,0.552083333,2,56,0,kiwi,kitkat
